"date_GMT","RH","temp","purpleair_pm2.5","pm2.5c"
2019-11-02 09:00:00,56.5,29.8,12.605,25.5004675271079
2019-11-02 10:00:00,52.34,30.6888888888889,7.65,23.9124375274251
2019-11-02 11:00:00,46.23,31.9277777777778,9.52,26.7267875993898
2019-11-02 12:00:00,43.97,32.3333333333333,14.93,30.4459172095122
2019-11-02 13:00:00,38.97,34.9444444444444,39.1233333333333,43.2406592051662
2019-11-02 14:00:00,39.17,35.3166666666667,36.935,41.4424823229428
2019-11-02 15:00:00,39.67,35.6833333333333,27.45,35.4488926245516
2019-11-02 16:00:00,47.4,32.9833333333333,34.925,38.7850999839931
2019-11-02 17:00:00,52.8,31.4444444444444,47.9,44.9602670337332
2019-11-02 18:00:00,52.57,31.0555555555556,72.27,59.069244463197
2019-11-02 19:00:00,55.23,30.4611111111111,89.49,67.8927301138783
2019-11-02 20:00:00,59.77,30,64.76,52.2985132044082
2019-11-02 21:00:00,61.43,29.5555555555556,38.625,37.4930156664296
2019-11-02 22:00:00,62.73,29,66.65,52.9945829903551
2019-11-02 23:00:00,62.6,28.8888888888889,54.31,46.3810714368226
2019-11-03 00:00:00,65.07,28.5166666666667,34.22,34.3811590060954
2019-11-03 01:00:00,66.8,28.1277777777778,32.75,33.1127640530085
2019-11-03 02:00:00,66.47,27.7777777777778,33.4,34.1029654191912
2019-11-03 03:00:00,65.63,27.5944444444444,31.29,33.6335472149155
2019-11-03 04:00:00,67.27,27.2222222222222,30.76,32.9134880414068
2019-11-03 05:00:00,66.33,27.2944444444444,36.105,36.2963707288604
2019-11-03 06:00:00,63.5,28.2611111111111,40.47,39.0322054288036
2019-11-03 07:00:00,56.83,30.2388888888889,25.17,31.70804948786
2019-11-03 08:00:00,51.97,32.0722222222222,23.97,31.3727770119369
2019-11-03 09:00:00,47.17,34.2944444444445,23.785,31.0675036759018
2019-11-03 10:00:00,42,36.1666666666667,15.35,26.8501966729199
2019-11-03 11:00:00,35.13,39.3333333333333,13.35,25.4709988580638
2019-11-03 12:00:00,29.13,41.4277777777778,13.57,26.2150474826707
